ICPC: 2 ML: 8 SL: 500 SC: 10
Rel_Ent	Site_Overlap	Time
0.000000	1.000000	2.699920
7.669741	0.787500	27.652800
5.478112	0.875000	27.816900
0.000000	1.000000	0.175670
5.483288	0.787500	27.742800
0.000000	1.000000	0.075998
0.000000	1.000000	0.033931
5.338808	0.875000	28.059000
0.000000	1.000000	0.276292
0.005176	0.987500	0.062989
ICPC: 1 ML: 8 SL: 500 SC: 10
Rel_Ent	Site_Overlap	Time
4.811452	0.000000	28.277400
5.873392	0.037500	28.215700
5.858436	0.050000	27.950200
8.583227	0.000000	28.214200
8.073637	0.000000	28.087000
5.449474	0.000000	28.271000
7.256605	0.000000	28.002100
6.637441	0.000000	10.223700
6.179589	0.000000	27.709300
7.450635	0.062500	27.981600
ICPC: 1.5 ML: 8 SL: 500 SC: 10
Rel_Ent	Site_Overlap	Time
0.416726	0.900000	1.260160
0.404888	1.000000	1.479270
0.572907	0.800000	1.202240
0.472239	1.000000	28.297100
0.360485	1.000000	0.563546
0.376609	0.800000	22.511100
0.149764	1.000000	1.181770
7.233484	0.875000	27.800500
0.055352	0.900000	18.158300
8.459908	0.750000	28.250400
ICPC: 2 ML: 7 SL: 500 SC: 10
Rel_Ent	Site_Overlap	Time
0.000000	1.000000	1.292240
0.000000	1.000000	0.023484
0.000000	1.000000	0.091922
0.000000	1.000000	0.861721
0.000000	1.000000	0.040558
0.000000	1.000000	0.921000
0.000000	1.000000	0.246223
0.000000	1.000000	0.267611
0.000000	1.000000	1.282200
4.010351	0.685714	0.377652
ICPC: 2 ML: 6 SL: 500 SC: 10
Rel_Ent	Site_Overlap	Time
0.000000	1.000000	1.415930
0.000000	1.000000	1.606550
0.000000	0.900000	0.719724
0.000000	1.000000	1.325820
0.000000	1.000000	0.378797
0.000000	1.000000	0.230145
2.039934	0.000000	21.802700
0.005176	0.900000	1.990300
0.000000	1.000000	0.348955
0.000000	1.000000	0.765561
ICPC: 2 ML: 8 SL: 500 SC: 20
Rel_Ent	Site_Overlap	Time
4.681752	0.637500	62.688000
0.000000	1.000000	0.152359
6.013725	0.562500	64.054400
5.403426	0.875000	63.968600
5.478112	0.831250	63.283100
4.565432	0.875000	63.132500
4.711596	0.637500	63.623800
7.478112	0.831250	63.769900
0.000000	0.950000	2.535610
5.338808	0.875000	64.009000
ICPC: 2 ML: 8 SL: 500 SC: 5
Rel_Ent	Site_Overlap	Time
8.000000	0.875000	0.269321
7.000000	1.000000	0.441292
6.499598	1.000000	0.122999
6.000000	0.000000	0.016373
6.326988	0.875000	0.039989
6.478112	1.000000	0.068323
7.233484	0.875000	0.164783
3.000000	0.750000	0.262826
3.000000	1.000000	0.186127
5.093505	0.000000	0.219299
